School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,39.95,29.23,69.18,1,2,1
Lee's Summit North,24.24,35.59,59.83,3,1,2
Liberty North,28.3,27.56,55.87,2,3,3
De Smet Jesuit,22.74,26.99,49.72,5,4,4
Joplin,20.7,24.31,45.01,8,6,5
Nixa,19.87,21.36,41.22,9,9,6
Francis Howell,22.02,18.25,40.27,6,13,7
Raymore-Peculiar,19.75,19.81,39.56,10,11,8
Park Hill South,15.55,22.44,37.99,16,8,9
SLUH,23.43,13.9,37.32,4,17,10
Troy Buchanan,21.38,15.89,37.27,7,14,11
Lee's Summit West,12.07,23.81,35.88,22,7,12
Rockhurst,7.56,26.8,34.36,24,5,13
Park Hill,17.69,15.45,33.14,14,15,14
Liberty,19.73,13.3,33.03,11,19,15
Marquette,12.43,19.33,31.76,21,12,16
Lee's Summit,18.86,10.8,29.67,13,21,17
Hazelwood Central,13.7,14.05,27.75,19,16,18
Blue Springs,13.62,13.04,26.66,20,20,19
Kickapoo,4.41,20.95,25.36,25,10,20
Kirkwood,15.36,9.16,24.52,17,23,21
Ozark,16.04,5.7,21.74,15,25,22
Timberland,19.16,1.74,20.9,12,26,23
Blue Springs South,8.14,9.32,17.46,23,22,24
Lindbergh,3.17,13.48,16.64,26,18,25
Ft. Zumwalt West,14.45,-4.77,9.68,18,30,26
Rock Bridge,3.15,5.78,8.93,27,24,27
Pattonville,-3.38,-1.02,-4.39,29,28,28
Hickman,-6.31,1.38,-4.93,32,27,29
Northwest (Cedar Hill),-5.69,-1.53,-7.22,31,29,30
Vianney,-4.44,-7.41,-11.85,30,31,31
Hazelwood West,-3.26,-19.22,-22.48,28,32,32
