Date,Home Team,Home Score,Away Team,Away Score
2021-08-27,Butler,32,Adrian,28
2021-08-27,Lutheran South,27,Affton,16
2021-08-27,Diamond,16,Ash Grove,6
2021-08-27,Buffalo,14,Ava,28
2021-08-27,Raytown South,28,Belton,56
2021-08-27,Lincoln College Prep,46,Benton,7
2021-08-27,Lee's Summit North,28,Blue Springs South,10
2021-08-27,Rolla,36,Bolivar,20
2021-08-27,Van-Far with Community,6,Bowling Green,60
2021-08-27,Bayless,8,Brentwood,14
2021-08-27,Trenton,12,Brookfield,18
2021-08-27,Kickapoo,14,Camdenton,22
2021-08-27,Willard,13,Carl Junction,39
2021-08-27,Sikeston,48,Caruthersville,14
2021-08-27,Mt. Vernon,0,Cassville,27
2021-08-27,Parkway North,50,Central (Cape Girardeau),19
2021-08-27,Portageville,8,Central (New Madrid County),46
2021-08-27,Eldon,42,Central (Springfield),14
2021-08-27,Mexico,46,Centralia,20
2021-08-27,Chaffee,20,Crystal City,14
2021-08-27,Sullivan,54,Cuba,6
2021-08-27,Seckman,55,DeSoto with Kingston,0
2021-08-27,Scott City,27,Dexter,6
2021-08-27,Lift for Life Academy Charter,6,Duchesne,14
2021-08-27,Reeds Spring,49,East Newton,20
2021-08-27,Charleston,34,East Prairie,42
2021-08-27,Savannah,6,Excelsior Springs,21
2021-08-27,Mountain Grove,19,Fair Grove,48
2021-08-27,North County,35,Farmington,12
2021-08-27,Sweet Springs with Malta Bend,20,Father Tolton with Calvary Lutheran,35
2021-08-27,Carrollton,0,Fayette,40
2021-08-27,Ste. Genevieve,36,Festus,31
2021-08-27,Central (St. Joseph),21,Fort Osage,61
2021-08-27,Hickman,0,Francis Howell,45
2021-08-27,Oakville,29,Francis Howell North,34
2021-08-27,Francis Howell Central,17,Ft. Zumwalt East,15
2021-08-27,Battle,36,Ft. Zumwalt North,35
2021-08-27,Troy Buchanan,44,Ft. Zumwalt South,7
2021-08-27,Eureka,52,Ft. Zumwalt West,24
2021-08-27,Osage,24,Fulton,19
2021-08-27,North Platte,8,Gallatin,62
2021-08-27,Smithville,42,Grain Valley,3
2021-08-27,Truman,14,Grandview,45
2021-08-27,Principia,6,Grandview (Hillsboro),49
2021-08-27,Thayer,22,Hayti,40
2021-08-27,Hannibal,54,Helias Catholic,20
2021-08-27,Montgomery County,31,Hermann,16
2021-08-27,Northwest (Cedar Hill),0,Hillsboro,49
2021-08-27,Sherwood,0,Holden,50
2021-08-27,Sarcoxie,30,Houston,13
2021-08-27,Roosevelt,6,Jackson,80
2021-08-27,Fredericktown,0,Jefferson (Festus),50
2021-08-27,Chaminade College Prep,34,Jefferson City,20
2021-08-27,Holt,45,Jennings,0
2021-08-27,Doniphan,13,Kelly,28
2021-08-27,Malden,0,Kennett,48
2021-08-27,Macon,42,Kirksville,41
2021-08-27,Westminster Christian Academy,7,Ladue Horton Watkins,52
2021-08-27,Timberland,24,Lafayette (Wildwood),13
2021-08-27,Richmond,40,Lathrop,6
2021-08-27,Hillcrest,6,Lebanon,56
2021-08-27,Oak Park,21,Lee's Summit,42
2021-08-27,Park Hill,7,Lee's Summit West,31
2021-08-27,Hogan Prep Academy Charter,40,Lexington,14
2021-08-27,Blue Springs,42,Liberty,43
2021-08-27,West Platte,42,Lone Jack with Kingsville,27
2021-08-27,North Callaway,40,Louisiana,0
2021-08-27,Stockton,8,Marionville,36
2021-08-27,South Callaway,12,Mark Twain,34
2021-08-27,Chillicothe,27,Marshall,8
2021-08-27,Blair Oaks,40,Maryville,6
2021-08-27,Aurora,22,McDonald County,33
2021-08-27,Lindbergh,33,Mehlville,7
2021-08-27,Princeton with Mercer,6,Mid-Buchanan,49
2021-08-27,Lincoln,28,Midway,0
2021-08-27,Cabool,35,Miller,8
2021-08-27,Sarcoxie,40,Missouri Military Academy,6
2021-08-27,Smith-Cotton,32,Moberly,12
2021-08-27,Hollister,42,Monett,27
2021-08-27,Logan-Rogersville,31,Nevada,52
2021-08-27,Branson,6,Nixa,42
2021-08-27,Raytown,35,North Kansas City,14
2021-08-27,Cameron,34,Northeast (Kansas City),0
2021-08-27,Lawson,0,Oak Grove,49
2021-08-27,Southern Boone,12,Odessa,50
2021-08-27,Normandy Collaborative,0,Orchard Farm,24
2021-08-27,Potosi,34,Owensville,38
2021-08-27,Carthage,49,Ozark,14
2021-08-27,Hallsville,28,Palmyra,7
2021-08-27,Platte County,14,Park Hill South,42
2021-08-27,Marquette,48,Parkway Central,0
2021-08-27,Parkway South,12,Parkway West,56
2021-08-27,St. Pius X (Kansas City),42,Pembroke Hill,7
2021-08-27,Lafayette County,34,Penney,39
2021-08-27,Polo,14,Plattsburg,6
2021-08-27,Boonville,35,Pleasant Hill,43
2021-08-27,Highland,50,Putnam County,14
2021-08-27,Rockhurst,14,Raymore-Peculiar,20
2021-08-27,Neosho,12,Republic,47
2021-08-27,Pattonville,28,Ritenour,25
2021-08-27,Fox,0,Rockwood Summit,32
2021-08-27,Westran,45,Salisbury,12
2021-08-27,Marceline,19,Scotland County,18
2021-08-27,Marshfield,28,Seneca,31
2021-08-27,Valle Catholic,50,Skyline,14
2021-08-27,MICDS,42,SLUH,28
2021-08-27,East Buchanan,42,South Harrison,14
2021-08-27,Milan,20,South Shelby,22
2021-08-27,St. Dominic,63,St. Charles West,21
2021-08-27,Pacific,30,St. Francis Borgia,12
2021-08-27,California,24,St. James,6
2021-08-27,Lutheran North,7,St. Mary's South Side,44
2021-08-27,Monroe City,42,St. Pius X (Festus),14
2021-08-27,Central (Park Hills),40,St. Vincent,0
2021-08-27,Rock Bridge,10,Staley,35
2021-08-27,Liberty (Mountain View),26,Strafford,6
